# english	chinese — 事件格文字在地化(踩到特殊格 → run_event emit → tr)。
# 鍵 = VM 解出的英文原文(逐條 emit);譯文源自 docs/translation/15_TRANSLATION_DRAFT.md / CONTEXT.md。
# 注意:部分鍵含結尾空白(對齊 VM emit),勿手動 trim。
An wild-eyed old hag looks into a crystal ball and threatens, "I'll get you my little pretty... oh, paying customers!"	一名目光狂亂的老巫婆盯著水晶球，恫嚇道：「我會抓到你的，我的小可愛……噢，原來是付錢的客人啊！」
The bartenders are drunk beyond reason. This seems to be a popular spot	酒保們醉得不省人事。這裡看來是個熱門去處。
Faith heals all.	信仰治癒一切。
In the midst of this dark grotto, you find a giant clam. Is this all that remains of some unfortunate adventurer?	在這座幽暗的洞窟深處，你發現一只巨蚌。難道這就是某個不幸冒險者僅存的遺骸？
A miserable little man in a jester's outfit sits in the corner. "A man is born crying," he says. "When he's cried enough, he dies!"	一個身穿小丑裝、滿臉淒苦的矮小男子坐在角落。「人一生下來就哭，」他說，「等哭夠了，就死了！」
A little boy bearing an over-sized polearm guards the entrance to this hut. "This is the king's boathouse!" he cries. "No one may enter unless on business of the king."	一個扛著與身形不符的巨大長柄武器的小男孩，守在這間小屋的入口。「這是國王的船屋！」他喊道，「除非有國王的差事，否則任何人不得進入。」
"Only people on official business may enter!"	「唯有奉公差者方可進入！」
An aged and dust covered old man sits at the helm of a rickety old unseaworthy vessel. "At last! Someone wishes my services!	一名滿身灰塵的年邁老人坐在一艘搖搖欲墜、根本不堪出海的破船舵旁。「總算有人要用我的服務了！
Fresh pine branches lay beneath a tree.	一棵樹下散落著新鮮的松枝。
You find an old man sitting under a tree by the water. "I won't go inside," he says. "You can't make me!"	你發現一位老人坐在水邊的樹下。「我才不進去，」他說，「你們別想逼我！」
The ferry manager greets you. He tells you that you can book passage to Lansk for only 500 gold. He also tells you that pilgrims can take the free ferry to the island of Nisir.	渡輪管理員上前招呼你。他說，只要五百金幣，你就能訂下前往蘭斯克的船位。他還告訴你，朝聖者可免費搭乘前往尼塞島的渡輪。
This statue looks like the diety of home computers, but it's really just a cheap clone.	這尊雕像看似某位家用電腦之神，其實不過是個廉價的仿冒品。
Rag-Tag soldiers and infantrymen lay in disorganized beds of hay and straw. Several healers attend to their needs and with powerful magic they are made fit to fight again.	一群衣衫襤褸的士兵與步兵雜亂地躺在乾草與稻草鋪成的床上。幾名治療師照料著他們，並以強大的魔法讓他們重新恢復戰力。
The black marketeer looks at your equipment. "You won't last five minutes with that stuff, pal!"	黑市商人打量著你的裝備。「靠那玩意兒，你撐不過五分鐘的，朋友！」
To the south lays a foul reeking pit... that can lead only to the Underworld!	南方有一座惡臭沖天的深坑……那只可能通往地底世界！
Lanac'toor's Spectactles lie here dusty and unused.	拉娜的眼鏡擱在這裡，積滿灰塵，無人使用。
Many high magic scrolls are neatly hidden in a little cubby hole here.	許多高級魔法卷軸整齊地藏在這裡的一個小暗格中。
Greedily clutched in the hands of a thankfully inanimate corpse, you find a gleaming magic axe.	一具所幸早已不會動彈的屍體，手中貪婪地緊握著——你在那裡找到一柄閃閃發亮的魔法斧。
You have found the Byzanople treasure vault!	你發現了拜占儂的寶物庫！
Construction of this secret tunnel seems to have been suspended before the job was done.	這條密道的開鑿工程，似乎在完工前就被擱置了。
Jackpot!! The Kingshome armory!!	中大獎了！！京雄城的武器庫！！
A plaque reads, "Welcome to my garden. Please enjoy the works of art I have created: they are my gift to mankind. Mog."	一塊牌匾寫著：「歡迎來到我的花園。請盡情欣賞我創作的藝術品：這是我獻給人類的禮物。莫格。」
This appears to be a guardroom, but where are the guards?	這裡看來是間警衛室，但衛兵都到哪兒去了？
This room is heaped full of household items. Among them is an uncommon number of mirrors.	這個房間堆滿了家用器物。其中鏡子的數量多得異乎尋常。
The food layed out for the evening meal in this dining room has long since gone stale.	這間餐廳裡為晚餐擺好的食物，早已腐壞發臭。
This dressing room is in total disarray. The shattered remains of a full-length mirror lay in a corner.	這間更衣室一片狼藉。一面破碎的全身鏡殘骸散落在角落。
The walls of this sitting room were formally hung with mirrors, but the mirrors have been destroyed.	這間起居室的牆上原本掛滿鏡子，但鏡子全被砸毀了。
A sign reads, "This way to the surface... Come back soon!"	一塊告示寫著：「往地面由此去……歡迎再度光臨！」
This way to the Underworld!"	往地底世界由此去！」
A shadey looking fellow winks at you as he says, "Uh... this shop is closed."	一個形跡可疑的傢伙對你眨眨眼，說道：「呃……這家店打烊了。」
The store clerk smiles. "Magic is outlawed, but scrolls and potions are kind of a grey area... and remember, money changes everything!"	店員微微一笑。「魔法是違禁的，不過卷軸和藥水算是灰色地帶……還有，記住，有錢能使鬼推磨！」
"Ferry to King's Isle," says a steward. Behind him you can see a boat loading at a hidden dock.	「前往王島的渡輪，」一名船務員說道。在他身後，你看見一艘船正停靠在隱密的碼頭裝貨。
"Good day to thee, honest patron's of Exeter's fine establishment of martial accoutrements."	「您好啊，光臨艾克斯特高級兵器行的諸位誠實顧客。」
"Welcome to Doctor Death's weaponry emporium. Your one stop shop for all your killing and maiming needs."	「歡迎光臨死亡博士的兵器大賣場。舉凡殺戮與斷肢所需，這裡一次購足。」
Exeter's Fine Shields and Armors."	艾克斯特精品盾甲行。」
Doctor Death's Killing and Maiming Emporium."	死亡博士的殺戮斷肢大賣場。」
Ministry of EZ Paperwork."	便捷文書部。」
A Lansk offical smiles and says, "Money changes everything!"	一名蘭斯克官員微笑著說：「有錢能使鬼推磨！」
Closed until further notice."	暫停營業，恕不另行通知。」
Instruments of death and destruction are lovingly placed on many shelves and racks. 	死亡與毀滅的器械，被細心地陳列在一排排的架子上。
Many neat and tidy cots fill this chamber, many medicines and elixers dot the shelves. "I can rid you of any ailment!" says the alchemist.	這間房裡擺滿了整潔的小床，架上散布著各式藥品與藥劑。「任何病痛我都能替你們治好！」煉金術士說道。
Inside this secret closet you find the broken arms of a statue.	在這間密室裡，你找到一尊雕像斷裂的手臂。
It really was a shame about those adventurers... just butchered like that!	那幾個冒險者真是可惜了……就那樣被人宰了！
# ── 中後期補譯(B-mid;妖精守衛/菲巴斯地下城拒絕對白)──
"No price, no passage!"	「不付代價，休想通行！」
"You are not allowed to enter."	「不准你進入。」
# ── 中後期探索/對白補譯(B-mid sweep;mainline_events --[EN!] 偵測)──
Who will enter?	誰要進入？
A dying man lays in the corner. "Water.. water.."	一個垂死的人躺在角落。「水……水……」
A feeble little spring bubbles in the corner.	角落裡有一道細弱的小泉汩汩冒著。
A rotting body of some unknown creature reeks of filth and decay.	某種不知名生物的腐屍散發著汙穢與腐敗的惡臭。
A sign reads, "	一面告示牌寫著：「
A sign reads, 'To Lansk Ferry'	一面告示牌寫著:『往蘭斯克渡輪』
A sign reads, 'To Pilgrim's Dock'	一面告示牌寫著:『往朝聖碼頭』
Ahead of you, guards carefully watch each pilgrim.	在你前方,守衛仔細盯著每一位朝聖者。
Ahead you see the exit from the mines. Cruel guards bar your path.	前方你看見礦坑的出口,殘酷的守衛擋住了去路。
An evil presence lurks in the darkness ahead.	前方的黑暗中潛伏著一股邪惡的氣息。
An irregular shaft leads into the bowels of the earth.	一道不規則的豎坑通往大地深處。
An old woman hugs her knees. "The king is near!" she says.	一位老婦抱著膝蓋。「國王就在附近!」她說。
Arrrggh! Crossbow trap!	啊啊啊!弩箭陷阱!
Ask for volunteers	徵求志願者
Defenders atop the walls pepper you with arrows.	城牆上的守軍朝你射來如雨般的箭矢。
Does this passage lead to freedom or doom?	這條通道是通往自由,還是死路?
Dozens of pilgrims are in line to board the next ferry.	數十名朝聖者正排隊等候搭乘下一班渡輪。
Feeble moans and the clank of chains come from the north.	微弱的呻吟與鎖鏈的鏗鏘聲從北方傳來。
For sheer realism, this statue has no equal.	論逼真程度,這座雕像無與倫比。
From this angle it almost seems as if the statue is weeping.	從這個角度看去,這座雕像彷彿正在哭泣。
In the murk you find a locker.	在昏暗中你發現一個置物櫃。
Lansk Travel Bureau.	蘭斯克旅遊局。
Listen for rumors	打聽傳聞
Many fine armors line the walls of this shop.	這家店的牆上陳列著許多精良的鎧甲。
Odors worthy of legend eminate from here.	一股堪稱傳奇的惡臭從這裡飄散出來。
Official Quag Visitors Information Bureau	奎格官方遊客服務處
Something smells very bad in here!	這裡有股很難聞的味道!
The Lansk Ferrymaster asks for your ticket.	蘭斯克渡輪船長向你索取船票。
The barracks are crowded with slumbering guards.	營房裡擠滿了沉睡的守衛。
The ceiling is old, and seems about to cave in.	天花板年久失修,看起來隨時會塌下來。
The corridor dead ends here, the northern wall appears to be movable.	走廊在此到了盡頭,北面的牆似乎可以推動。
The floorboards creak as you walk.	你走動時,地板嘎吱作響。
The guards eye you suspiciously, but you are allowed to pass.	守衛狐疑地打量你,但還是放你通行。
The intense heat is overwhelming.	灼人的高熱令人難以承受。
The man eyes you very suspiciously as all management usually does.	那人像所有管理者慣常的那樣,滿臉狐疑地盯著你。
The passage is blocked by a cave-in!	通道被坍方堵住了!
The shopkeeper watches you suspiciously.	店主狐疑地注視著你。
The statue looks so real you expect it to speak!	這座雕像逼真到讓你以為它會開口說話!
The tunnel ends at this interior wall. A strong shove should knock it aside.	隧道在這面內牆處到了盡頭,用力一推應該就能把它推開。
The very rock seems to mourn the passing of the dwarves.	連這岩石本身,似乎都在哀悼矮人的消逝。
This cell door is unlocked, how strange...	這扇牢門沒上鎖,真是奇怪……
This closet is filled with beach umbrellas.	這個櫥櫃裡塞滿了海灘遮陽傘。
This closet is filled with folding beach chairs.	這個櫥櫃裡塞滿了折疊海灘椅。
This corridor is dusty from disuse.	這條走廊久未使用,積滿了灰塵。
This corridor reeks with a foul odor.	這條走廊瀰漫著一股惡臭。
This inner courtyard is bustling with activity.	這座內庭人來人往,熱鬧非凡。
This narrow tunnel was built for dwarves! Only one can pass at a time.	這條狹窄的隧道是為矮人而建!一次只能通過一人。
To the north, you see the filthy pit where garbage gets tossed.	在北方,你看見一個傾倒垃圾的汙穢坑洞。
You feel disoriented... as if you've been spun around.	你感到一陣暈眩……彷彿被原地轉了好幾圈。
You find a locked	你發現一個上了鎖的
You have a bad feeling about what lies beyond this door.	對於這扇門後的東西,你有種不祥的預感。
You hear a voice coming from behind the wall to the north.	你聽見一個聲音從北面牆後傳來。
You hear someone crying.	你聽見有人在哭泣。
You see something moving at the end of the hall.	你看見大廳盡頭有東西在移動。
You see tracks of something not quite human.	你看見某種不太像人類的足跡。
You sense something is watching you.	你感覺到有東西正在注視著你。
You smell a strong scent of dragon.	你聞到一股濃烈的火龍氣味。
You smell fresh pine.	你聞到清新的松木香。
You snag an unseen wire, sounding a bell.	你絆到一條看不見的細線,觸動了一個鈴鐺。
Your footsteps sound hollow here.	你的腳步聲在這裡聽起來空洞回響。
A detachment of Lansk pikemen bar your path. "The Isle of Lansk observes strict neutrality," he says. "You'll have to swear to obey our laws and regulations." Comply?	一隊蘭斯克長矛兵擋住了你的去路。「蘭斯克島嚴守中立,」他說。「你們必須發誓遵守我們的法律與規章。」遵從嗎?
A large party of guards and a woman dressed in red and gold challenge you. "There's no need to fight... come along quietly," the woman says. Do you surrender?	一大隊守衛與一名身著紅金衣裳的女子攔下你們。「沒必要動武……乖乖跟我們走吧,」那女子說。你要投降嗎?
A voice that seems to emit from the very rock booms, "Only those who know the word may pass. What will you say?"	一個彷彿從岩石本身發出的聲音轟然響起:「唯有知曉暗語者方可通行。你要說什麼?」
An aged and dust covered old man sits at the helm of a rickety old unseaworthy vessel. "At last! Someone wishes my services!"Enter boat?	一個滿身塵土的老人坐在一艘搖搖欲墜、不堪航行的破船舵旁。「總算來人了!有人需要我的服務!」要上船嗎?
Set sail for...	啟航前往……
Several Phoeban guards tell you to halt. "Customs inspection," one of them says. "Let's see what's in your packs." Comply?	幾名菲巴斯守衛要你們止步。「海關檢查,」其中一人說。「讓我們看看你們的行囊裡有什麼。」遵從嗎?
Sunken ruins	沉沒遺跡
The Byzanople warriors are before you. Do you wish to...Attack them orHail them??	拜占儂的戰士擋在你面前。你希望……攻擊他們,還是向他們致意??
Who will get loot?	由誰取得戰利品?
# ── 走私灣啟航目的地(單字地名;CONTEXT.md 譯名)──
Freeport	自由港
Necropolis	死城
Rustic	拉斯提克
, you can...	,你可以……
